source,target
Mod2_GiaoTiep_HopTac,2.5_QuyTac_UngXu_Mang
Mod2_GiaoTiep_HopTac,2.6_QuanLy_DanhTinhSo

2.1_TuongTac_CongNgheSo,2.1.1_GiaoTiep_TrucTuyen_Offline
2.1_TuongTac_CongNgheSo,2.1.2_NangLuc_TuongTac_So

2.2_ChiaSe_ThongTin,2.2.1_PhuongThuc_Email_Chat
2.2_ChiaSe_ThongTin,2.2.2_MangXaHoi
2.2_ChiaSe_ThongTin,2.2.3_QuyTrinh_KiemChung_Tin
2.2_ChiaSe_ThongTin,2.2.4_SoHuuTriTue_BanQuyen

2.3_TrachNhiem_CongDan,2.3.1_DichVuCong_TrucTuyen
2.3_TrachNhiem_CongDan,2.3.2_PhanAnh_KienNghi_So
2.3_TrachNhiem_CongDan,2.3.3_GopY_ChinhSach
2.3_TrachNhiem_CongDan,2.3.4_TraCuu_PhapLuat

2.4_HopTac_CongNgheSo,2.4.1_MoHinh_Nhom_Tuckman
2.4_HopTac_CongNgheSo,2.4.2_CongCu_HopTac_Google_Trello
2.4_HopTac_CongNgheSo,2.4.3_LoiIch_RuiRo_HopTac

2.5_QuyTac_UngXu_Mang,2.5.1_Netiquette
2.5_QuyTac_UngXu_Mang,2.5.2_PhongChong_BatNat_Mang
2.5_QuyTac_UngXu_Mang,2.5.3_Luat_AnNinhMang

2.6_QuanLy_DanhTinhSo,2.6.1_DauChanSo
2.6_QuanLy_DanhTinhSo,2.6.2_BaoVe_DanhTinh

Mod3_SangTao_NoiDung,3.1_PhatTrien_NoiDung
Mod3_SangTao_NoiDung,3.2_TichHop_TaoLapLai
Mod3_SangTao_NoiDung,3.3_BanQuyen_GiayPhep
Mod3_SangTao_NoiDung,3.4_LapTrinh_CoBan

3.1_PhatTrien_NoiDung,3.1.1_XacDinh_MucTieu_SMART
3.1_PhatTrien_NoiDung,3.1.2_LapKeHoach_NoiDung
3.1_PhatTrien_NoiDung,3.1.3_CongCu_SanXuat

3.2_TichHop_TaoLapLai,3.2.1_DanhGia_NoiDung_Cu
3.2_TichHop_TaoLapLai,3.2.2_ChuyenDoi_DinhDang

3.3_BanQuyen_GiayPhep,3.3.1_Creative_Commons
3.3_BanQuyen_GiayPhep,3.3.2_GhiNguon_Attribution

3.4_LapTrinh_CoBan,3.4.1_TuDuy_LapTrinh
3.4_LapTrinh_CoBan,3.4.2_Python_CoBan
3.4_LapTrinh_CoBan,3.4.3_QuyTrinh_PhatTrien_PhanMem

Mod4_AnToan,4.1_BaoVe_ThietBi
Mod4_AnToan,4.2_BaoVe_DuLieu_RiengTu
Mod4_AnToan,4.3_SucKhoe_AnSinhSo
Mod4_AnToan,4.4_BaoVe_MoiTruong

4.1_BaoVe_ThietBi,4.1.1_TanCong_Mang
4.1_BaoVe_ThietBi,4.1.2_MaDoc_Malware
4.1_BaoVe_ThietBi,4.1.3_TuongLua_Antivirus

4.2_BaoVe_DuLieu_RiengTu,4.2.1_Phishing_LuaDao
4.2_BaoVe_DuLieu_RiengTu,4.2.2_QuanLy_MatKhau
4.2_BaoVe_DuLieu_RiengTu,4.2.3_MaHoa_DuLieu

4.3_SucKhoe_AnSinhSo,4.3.1_HoiChung_ThiGiac_ManHinh
4.3_SucKhoe_AnSinhSo,4.3.2_Nghien_Internet_FOMO
4.3_SucKhoe_AnSinhSo,4.3.3_Digital_Detox

4.4_BaoVe_MoiTruong,4.4.1_RacThai_DienTu
4.4_BaoVe_MoiTruong,4.4.2_CongNghe_Xanh

Mod5_GiaiQuyet_VanDe,5.1_XacDinh_VanDe
Mod5_GiaiQuyet_VanDe,5.2_Hoc_CongNgheMoi
Mod5_GiaiQuyet_VanDe,5.3_SuDung_CongCuSo
Mod5_GiaiQuyet_VanDe,5.4_CaiTien_QuyTrinh

5.1_XacDinh_VanDe,5.1.1_Loi_PhanMem
5.1_XacDinh_VanDe,5.1.2_Loi_PhanCung
5.1_XacDinh_VanDe,5.1.3_Doc_ThongBao_Loi

5.2_Hoc_CongNgheMoi,5.2.1_TimKiem_TaiLieu
5.2_Hoc_CongNgheMoi,5.2.2_Chon_Nguon_UyTin
5.2_Hoc_CongNgheMoi,5.2.3_TaiLieu_HocThuat

5.3_SuDung_CongCuSo,5.3.1_Google_Sheets_CoBan
5.3_SuDung_CongCuSo,5.3.2_Ham_TinhToan
5.3_SuDung_CongCuSo,5.3.3_TrucQuanHoa_DuLieu

5.4_CaiTien_QuyTrinh,5.4.1_PhanTich_HienTrang
5.4_CaiTien_QuyTrinh,5.4.2_DeXuat_GiaiPhap

Mod6_UngDung_AI_CoBan,6.1_KhaiNiem_CoBan
Mod6_UngDung_AI_CoBan,6.2_CongCu_AITaoSinh
Mod6_UngDung_AI_CoBan,6.3_CoHoi_ThachThuc

6.1_KhaiNiem_CoBan,6.1.1_DinhNghia_AI
6.1_KhaiNiem_CoBan,6.1.2_Machine_Learning_DeepLearning
6.1_KhaiNiem_CoBan,6.1.3_UngDung_YTe_GiaoThong

6.2_CongCu_AITaoSinh,6.2.1_AI_VanBan_ChatGPT
6.2_CongCu_AITaoSinh,6.2.2_AI_HinhAnh_Midjourney
6.2_CongCu_AITaoSinh,6.2.3_AI_Video_Sora

6.3_CoHoi_ThachThuc,6.3.1_Tang_NangSuat
6.3_CoHoi_ThachThuc,6.3.2_DaoDuc_AI
6.3_CoHoi_ThachThuc,6.3.3_ThayThe_ViecLam

Mod7_AI_Trong_Word,7.1_Tao_DatTen_File
Mod7_AI_Trong_Word,7.2_DinhDang_CoBan
Mod7_AI_Trong_Word,7.3_SoanThao_VanBan
Mod7_AI_Trong_Word,7.4_Tao_Bang
Mod7_AI_Trong_Word,7.5_DinhDang_NangCao
Mod7_AI_Trong_Word,7.6_TichHop_AI_Addins
Mod7_AI_Trong_Word,7.7_Viet_NoiDung_Bang_AI
Mod7_AI_Trong_Word,7.8_ChinhSua_VanBan_Bang_AI
Mod7_AI_Trong_Word,7.9_TomTat_Bang_AI

7.1_Tao_DatTen_File,7.1.1_QuyTac_DatTen
7.2_DinhDang_CoBan,7.2.1_KhoGiay_Le_Font_GianDong
7.4_Tao_Bang,7.4.1_Tao_DinhDang_Bang
7.5_DinhDang_NangCao,7.5.1_NgatTrang_NgatDoan
7.5_DinhDang_NangCao,7.5.2_Tab_Bullets_Numbering
7.5_DinhDang_NangCao,7.5.3_ChiaCot_DropCap
7.5_DinhDang_NangCao,7.5.4_Multilevel_List_MucLuc
7.5_DinhDang_NangCao,7.5.5_Header_Footer_Endnote
7.6_TichHop_AI_Addins,7.6.1_CaiDat_Copilot_ChatGPT
7.7_Viet_NoiDung_Bang_AI,7.7.1_Prompt_Tao_VanBan
7.8_ChinhSua_VanBan_Bang_AI,7.8.1_Prompt_Sua_Loi
7.9_TomTat_Bang_AI,7.9.1_Prompt_TomTat

Mod8_AI_Trong_Excel,8.1_CoBan_Excel
Mod8_AI_Trong_Excel,8.2_Ham_CoBan
Mod8_AI_Trong_Excel,8.3_Ham_NangCao
Mod8_AI_Trong_Excel,8.4_SapXep_Loc
Mod8_AI_Trong_Excel,8.5_TichHop_AI_Excel
Mod8_AI_Trong_Excel,8.6_Tao_DuLieu_Bang_AI
Mod8_AI_Trong_Excel,8.7_PhanTich_DuLieu_Bang_AI

8.1_CoBan_Excel,8.1.1_DatTenVung_RangBuocDuLieu
8.2_Ham_CoBan,8.2.1_IF_LEFT_RIGHT_MID_VALUE
8.3_Ham_NangCao,8.3.1_SUMIF_COUNTIF
8.3_Ham_NangCao,8.3.2_VLOOKUP_HLOOKUP
8.4_SapXep_Loc,8.4.1_Sort_Filter
8.5_TichHop_AI_Excel,8.5.1_CaiDat_Copilot_ChatGPT
8.6_Tao_DuLieu_Bang_AI,8.6.1_Prompt_Tao_Bang
8.7_PhanTich_DuLieu_Bang_AI,8.7.1_Prompt_PhanTich_XuHuong

Mod9_AI_Trong_PowerPoint,9.1_BieuDo_DuDoan_AI
Mod9_AI_Trong_PowerPoint,9.2_ThietKe_Slide
Mod9_AI_Trong_PowerPoint,9.3_HieuUng_TrinhChieu
Mod9_AI_Trong_PowerPoint,9.4_TichHop_AI_PPT
Mod9_AI_Trong_PowerPoint,9.5_Tao_NoiDung_Bang_AI
Mod9_AI_Trong_PowerPoint,9.6_Tao_Slide_TuDong_Bang_AI

9.1_BieuDo_DuDoan_AI,9.1.1_VeBieuDo_DuBaoXuHuong
9.2_ThietKe_Slide,9.2.1_SlideMaster_LienKet
9.3_HieuUng_TrinhChieu,9.3.1_Animation_Transition
9.4_TichHop_AI_PPT,9.4.1_CaiDat_Gamma_Copilot
9.5_Tao_NoiDung_Bang_AI,9.5.1_Prompt_Tao_NoiDung
9.6_Tao_Slide_TuDong_Bang_AI,9.6.1_Prompt_Tao_Slide_Tu_File
