source,target
17.1_Autoencoders_BieuDien,17.2_Variational_Autoencoders
17.2_Variational_Autoencoders,17.3_GANs_Adversarial
17.3_GANs_Adversarial,17.4_Diffusion_Models
Chg17_Generative_AI,17.5_ThucHanh_GenAI

Chg18_Reinforcement_Learning,18.1_Policy_Reward
18.1_Policy_Reward,18.2_Q_Learning
18.2_Q_Learning,18.3_Deep_Q_Networks
18.3_Deep_Q_Networks,18.4_Policy_Gradients
18.4_Policy_Gradients,18.5_AlphaGo_Zero
Chg18_Reinforcement_Learning,18.6_ThucHanh_RL

Chg19_Deployment_Scale,19.1_TF_Serving_Server
19.1_TF_Serving_Server,19.2_TF_Lite_Mobile
19.1_TF_Serving_Server,19.3_TF_JS_Browser
19.3_TF_JS_Browser,19.4_GiamSat_BaoTri
Chg19_Deployment_Scale,19.5_ThucHanh_Deploy
