question_id,content,options,answer,skill_id_list,difficulty
Chg1_Pra_Q1,"Để đọc tập dữ liệu từ file CSV (ví dụ 'lifesat.csv') vào một DataFrame bằng thư viện Pandas, câu lệnh nào là chính xác?","[""A. data = pd.read_excel('lifesat.csv')"", ""B. data = pd.read_csv('lifesat.csv')"", ""C. data = pd.load('lifesat.csv')"", ""D. data = open('lifesat.csv') ""]",B,"[""1.6_ThucHanh_TongQuan""]",easy
Chg1_Pra_Q2,"Trong Scikit-Learn, quy trình chuẩn để huấn luyện một mô hình là gọi phương thức nào?","[""A. model.train(X, y)"", ""B. model.learn(X, y)"", ""C. model.fit(X, y)"", ""D. model.compute(X, y)""]",C,"[""1.6_ThucHanh_TongQuan""]",easy
Chg1_Pra_Q3,"Sau khi mô hình đã được huấn luyện, lệnh nào dùng để đưa ra dự đoán cho dữ liệu mới `X_new`?","[""A. model.predict(X_new)"", ""B. model.forecast(X_new)"", ""C. model.guess(X_new)"", ""D. model.estimate(X_new)""]",A,"[""1.6_ThucHanh_TongQuan""]",easy
Chg1_Pra_Q4,"Trong ví dụ của sách, để chuyển đổi từ mô hình Hồi quy tuyến tính (Linear Regression) sang mô hình K-Nearest Neighbors (k-NN) cho bài toán hồi quy, bạn cần thay đổi dòng khởi tạo mô hình thành gì?","[""A. sklearn.neighbors.KNeighborsClassifier()"", ""B. sklearn.neighbors.KNeighborsRegressor(n_neighbors=3)"", ""C. sklearn.cluster.KMeans()"", ""D. sklearn.linear_model.SGDRegressor()""]",B,"[""1.6_ThucHanh_TongQuan""]",medium
Chg1_Pra_Q5,"Scikit-Learn yêu cầu dữ liệu đặc trưng đầu vào (X) phải có định dạng nào khi đưa vào hàm `.fit()`?","[""A. Mảng 1 chiều (1D array) hoặc List đơn giản."", ""B. Mảng 2 chiều (2D array) hoặc DataFrame, ngay cả khi chỉ có một đặc trưng (cần reshape thành (-1, 1))."", ""C. Chuỗi văn bản."", ""D. Dictionary.""]",B,"[""1.6_ThucHanh_TongQuan""]",hard
Chg1_Pra_Q6,"Để nối (merge) hai bảng dữ liệu (ví dụ: bảng GDP và bảng Life Satisfaction) dựa trên một cột chung (ví dụ: 'Country'), ta dùng hàm nào của Pandas?","[""A. pd.concat()"", ""B. pd.merge()"", ""C. pd.join()"", ""D. pd.combine()""]",B,"[""1.6_ThucHanh_TongQuan""]",medium
Chg1_Pra_Q7,"Dòng lệnh `import matplotlib.pyplot as plt` và `df.plot(kind='scatter', ...)` thường được dùng để làm gì trong bước đầu của dự án?","[""A. Để huấn luyện mô hình."", ""B. Để trực quan hóa dữ liệu (Visualize), giúp nhận diện xu hướng hoặc nhiễu."", ""C. Để tải dữ liệu."", ""D. Để lưu mô hình.""]",B,"[""1.6_ThucHanh_TongQuan""]",easy
Chg1_Pra_Q8,"Trong Scikit-Learn, lớp `LinearRegression` nằm trong module nào?","[""A. sklearn.tree"", ""B. sklearn.ensemble"", ""C. sklearn.linear_model"", ""D. sklearn.metrics""]",C,"[""1.6_ThucHanh_TongQuan""]",medium

Chg2_Q1_MCQ,"Khi tìm kiếm dữ liệu thực tế cho dự án Machine Learning, nguồn nào sau đây là phổ biến và uy tín?","[""A. Chỉ sử dụng dữ liệu tự sinh ngẫu nhiên."", ""B. Các kho lưu trữ như UCI Machine Learning Repository, Kaggle, hoặc Amazon AWS Datasets."", ""C. Facebook cá nhân của bạn bè."", ""D. Dữ liệu được viết tay trên giấy.""]",B,"[""2.1_DuLieuThuc""]",easy
Chg2_Q2_MCQ,"RMSE (Root Mean Square Error) thường được sử dụng để đo lường điều gì trong bài toán Hồi quy?","[""A. Độ chính xác (Accuracy) của phân loại."", ""B. Sai số trung bình bình phương của dự đoán so với thực tế."", ""C. Số lượng dữ liệu bị thiếu."", ""D. Tốc độ huấn luyện của mô hình.""]",B,"[""2.2_BucTranhLon""]",medium
Chg2_Q3_MCQ,"Tại sao việc tách tập dữ liệu thành tập huấn luyện (Train) và tập kiểm tra (Test) lại quan trọng ngay từ đầu?","[""A. Để giảm kích thước file dữ liệu."", ""B. Để tránh 'snooping bias' (thiên kiến nhìn trộm) và đảm bảo đánh giá khách quan."", ""C. Để tăng tốc độ huấn luyện."", ""D. Vì máy tính yêu cầu bắt buộc.""]",B,"[""2.3_LayDuLieu""]",easy
Chg2_Q4_MCQ,"Kỹ thuật 'Stratified Sampling' (Lấy mẫu phân tầng) có mục đích gì?","[""A. Lấy mẫu ngẫu nhiên hoàn toàn."", ""B. Đảm bảo tập kiểm tra đại diện cho tổng thể theo tỷ lệ của các thuộc tính quan trọng (ví dụ: giới tính, thu nhập)."", ""C. Chỉ lấy dữ liệu từ một nhóm cụ thể."", ""D. Tăng số lượng dữ liệu.""]",B,"[""2.3_LayDuLieu""]",hard
Chg2_Q5_MCQ,"Trong giai đoạn khám phá dữ liệu (EDA), ma trận tương quan (Correlation Matrix) giúp ta nhận biết điều gì?","[""A. Các thuộc tính nào có mối quan hệ tuyến tính mạnh với nhãn mục tiêu."", ""B. Dữ liệu nào bị thiếu."", ""C. Mô hình nào sẽ hoạt động tốt nhất."", ""D. Độ chính xác của mô hình cuối cùng.""]",A,"[""2.4_KhamPha_TrucQuan""]",medium
Chg2_Q6_MCQ,"Khi xử lý dữ liệu bị thiếu (Missing values), phương pháp 'Imputation' nghĩa là gì?","[""A. Xóa bỏ toàn bộ dòng chứa dữ liệu thiếu."", ""B. Điền vào các giá trị thiếu bằng trung bình (mean), trung vị (median) hoặc một giá trị cố định."", ""C. Để nguyên dữ liệu thiếu cho mô hình tự xử lý."", ""D. Dừng việc huấn luyện ngay lập tức.""]",B,"[""2.5_ChuanBi_DuLieu""]",easy
Chg2_Q7_MCQ,"Mục đích của việc chuẩn hóa dữ liệu (Feature Scaling) như Min-Max Scaling hay Standardization là gì?","[""A. Làm cho dữ liệu đẹp hơn."", ""B. Giúp các thuật toán tối ưu (như Gradient Descent) hội tụ nhanh hơn và hoạt động tốt hơn."", ""C. Biến đổi bài toán hồi quy thành phân loại."", ""D. Giảm số lượng đặc trưng.""]",B,"[""2.5_ChuanBi_DuLieu""]",medium
Chg2_Q8_MCQ,"Kỹ thuật Cross-Validation (Kiểm chứng chéo) K-Fold hoạt động như thế nào?","[""A. Chia dữ liệu thành K phần, huấn luyện trên K-1 phần và kiểm tra trên 1 phần còn lại, lặp lại K lần."", ""B. Chỉ huấn luyện 1 lần trên toàn bộ dữ liệu."", ""C. Chia dữ liệu thành 2 phần bằng nhau."", ""D. Sử dụng K mô hình khác nhau trên cùng một tập dữ liệu.""]",A,"[""2.6_Chon_HuanLuyen_MoHinh""]",hard
Chg2_Q9_MCQ,"Grid Search và Randomized Search được sử dụng để làm gì?","[""A. Để thu thập thêm dữ liệu từ Internet."", ""B. Để tìm ra tập siêu tham số (hyperparameters) tối ưu cho mô hình."", ""C. Để vẽ đồ thị dữ liệu."", ""D. Để triển khai mô hình lên web.""]",B,"[""2.7_TinhChinh_MoHinh""]",medium
Chg2_Q10_MCQ,"Sau khi mô hình đã được huấn luyện và tinh chỉnh xong, bước cuối cùng trước khi đưa vào sản xuất là gì?","[""A. Xóa sạch dữ liệu để tiết kiệm bộ nhớ."", ""B. Đánh giá lại mô hình lần cuối trên tập kiểm tra (Test set) để ước tính sai số tổng quát."", ""C. Chạy mô hình trên tập huấn luyện một lần nữa."", ""D. Thay đổi thuật toán khác.""]",B,"[""2.7_TinhChinh_MoHinh""]",easy
Chg2_Q11_MCQ,"Tại sao cần phải theo dõi (monitor) mô hình sau khi đã triển khai (deploy)?","[""A. Để xem có ai truy cập không."", ""B. Để phát hiện 'Data Drift' hoặc 'Concept Drift' khi hiệu suất mô hình bị suy giảm theo thời gian."", ""C. Luật pháp bắt buộc."", ""D. Không cần theo dõi nếu mô hình đã tốt.""]",B,"[""2.8_TrienKhai_HeThong""]",medium

Chg2_Q12_MCQ,"Trong bài toán hồi quy, khi dữ liệu có nhiều điểm ngoại lai (outliers), chỉ số đánh giá nào thường được ưu tiên hơn RMSE?","[""A. Mean Absolute Error (MAE) vì nó ít nhạy cảm với ngoại lai hơn."", ""B. Accuracy (Độ chính xác)."", ""C. R-squared."", ""D. RMSE vẫn là tốt nhất.""]",A,"[""2.2_BucTranhLon""]",medium
Chg2_Q13_MCQ,"Biểu đồ phân tán (Scatter Plot) hữu ích nhất cho việc gì trong giai đoạn EDA?","[""A. Kiểm tra phân phối của một thuộc tính."", ""B. Hình dung mối quan hệ tương quan giữa hai biến số (ví dụ: thu nhập và giá nhà)."", ""C. Đếm số lượng giá trị bị thiếu."", ""D. So sánh trung bình của nhiều nhóm.""]",B,"[""2.4_KhamPha_TrucQuan""]",easy
Chg2_Q14_MCQ,"Khi dữ liệu có phân phối 'đuôi nặng' (tail-heavy) như thu nhập dân cư, ta thường làm gì để hỗ trợ mô hình học tốt hơn?","[""A. Xóa bỏ phần đuôi."", ""B. Áp dụng biến đổi Log (Log transformation) để dữ liệu trở nên đối xứng hơn (giống phân phối chuẩn)."", ""C. Nhân đôi dữ liệu."", ""D. Không làm gì cả.""]",B,"[""2.5_ChuanBi_DuLieu""]",hard
Chg2_Q15_MCQ,"Kỹ thuật 'One-Hot Encoding' được sử dụng để xử lý loại dữ liệu nào?","[""A. Dữ liệu số liên tục."", ""B. Dữ liệu văn bản dài."", ""C. Dữ liệu phân loại (Categorical) không có thứ tự (ví dụ: màu sắc đỏ, xanh, vàng)."", ""D. Dữ liệu thời gian.""]",C,"[""2.5_ChuanBi_DuLieu""]",medium
Chg2_Q16_MCQ,"Trong Scikit-Learn, vai trò của 'Pipeline' là gì?","[""A. Để vẽ đồ thị dữ liệu."", ""B. Để kết nối chuỗi các bước xử lý dữ liệu (biến đổi) và mô hình thành một luồng duy nhất, giúp code gọn gàng và tránh rò rỉ dữ liệu."", ""C. Để tải dữ liệu từ internet."", ""D. Để lưu mô hình vào ổ cứng.""]",B,"[""2.5_ChuanBi_DuLieu""]",medium
Chg2_Q17_MCQ,"Để lưu lại mô hình đã huấn luyện ra file (để dùng sau này), ta thường dùng thư viện nào trong Python?","[""A. Pandas."", ""B. Matplotlib."", ""C. Joblib hoặc Pickle."", ""D. Numpy.""]",C,"[""2.6_Chon_HuanLuyen_MoHinh""]",easy
Chg2_Q18_MCQ,"Phương pháp 'Ensemble Learning' (Học tập hợp) hoạt động theo nguyên lý nào?","[""A. Sử dụng một mô hình cực kỳ phức tạp."", ""B. Kết hợp dự đoán của nhiều mô hình khác nhau (ví dụ: Random Forest gồm nhiều Decision Trees) để đưa ra kết quả tốt hơn từng mô hình lẻ."", ""C. Chỉ sử dụng dữ liệu huấn luyện tốt nhất."", ""D. Huấn luyện mô hình trong thời gian dài.""]",B,"[""2.7_TinhChinh_MoHinh""]",medium
Chg2_Q19_MCQ,"Tại sao chúng ta không nên chạm vào tập kiểm tra (Test Set) trong suốt quá trình tinh chỉnh tham số (Hyperparameter Tuning)?","[""A. Vì sợ làm hỏng file dữ liệu."", ""B. Để tránh 'Data Snooping' - mô hình sẽ bị tối ưu hóa quá mức cho tập test và mất khả năng tổng quát hóa thực tế."", ""C. Vì tập test cần được giữ bí mật."", ""D. Scikit-Learn không cho phép.""]",B,"[""2.3_LayDuLieu""]",hard
